primary_label,positives,negatives,raw_auc,best_auc,delta
1161364,0,144,,,
116570,6,138,0.8828502415458938,0.9082125603864735,0.025362318840579712
1176823,0,144,,,
1491113,0,144,,,
1595929,0,144,,,
209233,0,144,,,
22930,0,144,,,
22956,0,144,,,
22961,12,132,0.2992424242424242,0.2689393939393939,-0.030303030303030276
22967,12,132,1.0,0.985479797979798,-0.014520202020201989
22973,8,136,0.9944852941176471,0.9954044117647058,0.0009191176470587648
22983,0,144,,,
22985,0,144,,,
23150,0,144,,,
23154,0,144,,,
23158,54,90,0.925514403292181,0.9816872427983538,0.0561728395061728
23176,0,144,,,
23724,0,144,,,
24279,48,96,1.0,0.9657118055555556,-0.03428819444444442
24285,0,144,,,
24287,0,144,,,
24321,53,91,0.9589467136636949,0.9131246112378189,-0.04582210242587603
244024,0,144,,,
25073,0,144,,,
25092,12,132,0.7821969696969697,0.6130050505050505,-0.16919191919191923
25214,0,144,,,
326272,11,133,0.4080656185919344,0.9501025290498974,0.542036910457963
41970,0,144,,,
43435,12,132,0.7998737373737373,0.5713383838383838,-0.2285353535353536
47144,0,144,,,
47158son01,0,144,,,
47158son02,7,137,0.7831074035453598,0.6282586027111575,-0.15484880083420227
47158son03,24,120,0.9559027777777778,0.8274305555555554,-0.12847222222222232
47158son04,0,144,,,
47158son05,0,144,,,
47158son06,12,132,0.7796717171717172,0.9090909090909091,0.12941919191919182
47158son07,0,144,,,
47158son08,0,144,,,
47158son09,0,144,,,
47158son10,13,131,0.8549618320610687,0.9958896065766295,0.14092777451556082
47158son11,0,144,,,
47158son12,0,144,,,
47158son13,0,144,,,
47158son14,12,132,0.8005050505050504,0.8011363636363636,0.0006313131313132603
47158son15,0,144,,,
47158son16,0,144,,,
47158son17,9,135,0.9835390946502057,0.988477366255144,0.004938271604938316
47158son18,12,132,0.9684343434343434,0.9722222222222222,0.0037878787878787845
47158son19,1,143,0.9230769230769231,0.951048951048951,0.027972027972027913
47158son20,0,144,,,
47158son21,0,144,,,
47158son22,0,144,,,
47158son23,0,144,,,
47158son24,0,144,,,
47158son25,24,120,0.7052083333333334,0.861111111111111,0.1559027777777776
476521,0,144,,,
516975,0,144,,,
517063,63,81,0.7526944934352342,0.750930825004899,-0.0017636684303351524
555123,0,144,,,
555145,0,144,,,
555146,52,92,0.9841137123745819,0.9926839464882944,0.008570234113712494
64898,0,144,,,
65377,9,135,0.5925925925925926,0.3814814814814815,-0.21111111111111108
65380,96,48,1.0,1.0,0.0
66971,54,90,0.8763374485596709,0.8576131687242797,-0.018724279835391155
67107,0,144,,,
67252,0,144,,,
70711,0,144,,,
738183,0,144,,,
74113,0,144,,,
74580,0,144,,,
760266,0,144,,,
ashgre1,0,144,,,
astcra1,0,144,,,
bafcur1,0,144,,,
baffal1,0,144,,,
banana,0,144,,,
barant1,0,144,,,
batbel1,0,144,,,
baymac,0,144,,,
bbwduc,0,144,,,
bcwfin2,0,144,,,
bkcdon,0,144,,,
bkhpar,0,144,,,
blchaw1,0,144,,,
blheag1,0,144,,,
blttit1,0,144,,,
bncfly,0,144,,,
bobfly1,0,144,,,
brcmar1,0,144,,,
brnowl,0,144,,,
bucmot4,0,144,,,
bucpar,0,144,,,
bufpar,0,144,,,
bunibi1,0,144,,,
burowl,0,144,,,
camfli1,0,144,,,
chacha1,16,128,0.97705078125,0.9521484375,-0.02490234375
chbmoc1,0,144,,,
chobla1,0,144,,,
chvcon1,0,144,,,
cibspi1,0,144,,,
coffal1,0,144,,,
compau,0,144,,,
compot1,0,144,,,
crbthr1,0,144,,,
crebec1,0,144,,,
dwatin1,0,144,,,
epaori4,0,144,,,
eulfly1,0,144,,,
fabwre1,0,144,,,
fepowl,0,144,,,
ficman1,0,144,,,
flawar1,0,144,,,
fotfly,0,144,,,
fusfly1,0,144,,,
gilhum1,0,144,,,
giwrai1,0,144,,,
glteme1,0,144,,,
grasal3,0,144,,,
greani1,0,144,,,
greant1,0,144,,,
greela,0,144,,,
grekis,0,144,,,
grepot1,0,144,,,
gretho2,0,144,,,
greyel,0,144,,,
grfdov1,0,144,,,
grhtan1,0,144,,,
gycwor1,0,144,,,
horscr1,0,144,,,
houspa,0,144,,,
hyamac1,0,144,,,
larela1,0,144,,,
lesela1,0,144,,,
lesgrf1,0,144,,,
limpki,0,144,,,
linwoo1,0,144,,,
litcuc2,0,144,,,
litnig1,0,144,,,
mabpar,0,144,,,
magant1,0,144,,,
magtan2,0,144,,,
masgna1,0,144,,,
nacnig1,0,144,,,
ocecra1,0,144,,,
oliwoo1,0,144,,,
orbtro3,0,144,,,
orwpar,0,144,,,
osprey,0,144,,,
pabspi1,0,144,,,
palhor3,0,144,,,
paltan1,0,144,,,
phecuc1,0,144,,,
picpig2,0,144,,,
pirfly1,0,144,,,
plasla1,0,144,,,
platyr1,0,144,,,
plcjay1,0,144,,,
pluibi1,0,144,,,
purjay1,0,144,,,
pvttyr1,0,144,,,
ragmac1,0,144,,,
rebscy1,0,144,,,
recfin1,0,144,,,
redjun,6,138,0.9154589371980677,0.7983091787439613,-0.11714975845410636
relser1,0,144,,,
rinkin1,0,144,,,
rivwar1,0,144,,,
roahaw,0,144,,,
rubthr1,0,144,,,
rufcac2,0,144,,,
rufcas2,0,144,,,
rufgna3,0,144,,,
rufhor2,4,140,0.9303571428571429,0.9303571428571429,0.0
rufnig1,0,144,,,
ruftho1,0,144,,,
ruftof1,0,144,,,
rumfly1,0,144,,,
ruther1,0,144,,,
rutjac1,0,144,,,
sabspa1,0,144,,,
saffin,0,144,,,
saytan1,0,144,,,
scadov1,0,144,,,
schpar1,0,144,,,
scther1,0,144,,,
shcfly1,0,144,,,
shshaw,0,144,,,
shtnig1,0,144,,,
sibtan2,0,144,,,
smbani,0,144,,,
smbtin1,0,144,,,
sobcac1,0,144,,,
sobtyr1,0,144,,,
socfly1,0,144,,,
sofspi1,0,144,,,
souant1,0,144,,,
soulap1,0,144,,,
souscr1,0,144,,,
spbant3,0,144,,,
spispi1,0,144,,,
sptnig1,0,144,,,
squcuc1,0,144,,,
stbwoo2,0,144,,,
strcuc1,0,144,,,
strher2,0,144,,,
strowl1,0,144,,,
swthum1,0,144,,,
swtman1,0,144,,,
tattin1,0,144,,,
thlwre1,0,144,,,
toctou1,0,144,,,
trokin,0,144,,,
trsowl,0,144,,,
undtin1,4,140,0.5267857142857143,0.7660714285714286,0.23928571428571432
varant1,0,144,,,
watjac1,0,144,,,
wesfie1,0,144,,,
wfwduc1,0,144,,,
whbant2,0,144,,,
