primary_label,positives,negatives,raw_auc,best_auc,delta
1161364,0,432,,,
116570,9,423,0.8681376411872865,0.9351195166798003,0.06698187549251378
1176823,0,432,,,
1491113,31,401,0.5024535435604537,0.5873220175368031,0.08486847397634945
1595929,0,432,,,
209233,0,432,,,
22930,0,432,,,
22956,0,432,,,
22961,36,396,0.37815656565656564,0.36384680134680136,-0.014309764309764272
22967,60,372,0.8240143369175628,0.7539874551971326,-0.07002688172043015
22973,94,338,0.8008938688153091,0.826765705652776,0.025871836837466855
22983,0,432,,,
22985,0,432,,,
23150,0,432,,,
23154,0,432,,,
23158,90,342,0.9276153346328785,0.85227420402859,-0.07534113060428849
23176,0,432,,,
23724,0,432,,,
24279,96,336,0.8801773313492064,0.8849826388888888,0.004805307539682446
24285,0,432,,,
24287,0,432,,,
24321,115,317,0.9113427513372652,0.8900836647922096,-0.021259086545055594
244024,0,432,,,
25073,0,432,,,
25092,22,410,0.8315964523281596,0.6233924611973392,-0.20820399113082044
25214,0,432,,,
326272,11,421,0.27229540056143386,0.9553012308356726,0.6830058302742388
41970,0,432,,,
43435,12,420,0.25357142857142856,0.1818452380952381,-0.07172619047619047
47144,10,422,0.48981042654028434,0.4947867298578199,0.004976303317535569
47158son01,12,420,0.5148809523809523,0.6632936507936508,0.14841269841269844
47158son02,7,425,0.2608403361344538,0.2099159663865546,-0.050924369747899184
47158son03,24,408,0.6601307189542482,0.6877042483660131,0.02757352941176483
47158son04,12,420,0.6591269841269841,0.8289682539682539,0.1698412698412698
47158son05,0,432,,,
47158son06,18,414,0.5932635534084809,0.9647074610842727,0.37144390767579183
47158son07,24,408,0.9978553921568627,1.0,0.002144607843137303
47158son08,12,420,0.7515873015873016,0.6706349206349207,-0.08095238095238089
47158son09,0,432,,,
47158son10,25,407,0.7199017199017199,0.9635380835380836,0.24363636363636365
47158son11,12,420,0.6714285714285715,0.6571428571428571,-0.014285714285714346
47158son12,0,432,,,
47158son13,12,420,0.9527777777777777,1.0,0.047222222222222276
47158son14,12,420,0.2601190476190476,0.2603174603174603,0.0001984126984126977
47158son15,0,432,,,
47158son16,0,432,,,
47158son17,21,411,0.9061522419186653,0.9650098482215271,0.05885760630286185
47158son18,12,420,0.3827380952380952,0.38055555555555554,-0.002182539682539675
47158son19,5,427,0.8042154566744731,0.957377049180328,0.15316159250585482
47158son20,12,420,0.33095238095238094,0.3331349206349206,0.002182539682539675
47158son21,11,421,0.9578924638307061,1.0,0.04210753616929386
47158son22,12,420,0.9757936507936508,1.0,0.02420634920634923
47158son23,12,420,0.9670634920634921,1.0,0.03293650793650793
47158son24,0,432,,,
47158son25,60,372,0.801478494623656,0.9608870967741936,0.15940860215053765
476521,0,432,,,
516975,0,432,,,
517063,198,234,0.7321073987740654,0.7742812742812744,0.04217387550720897
555123,0,432,,,
555145,0,432,,,
555146,133,299,0.9606709080393291,0.927351824376996,-0.03331908366233305
64898,0,432,,,
65377,9,423,0.18912529550827428,0.12174940898345155,-0.06737588652482274
65380,221,211,0.9340352984066395,0.9164289850099719,-0.017606313396667517
66971,104,328,0.9193245778611632,0.9338356003752345,0.014511022514071326
67107,0,432,,,
67252,0,432,,,
70711,0,432,,,
738183,0,432,,,
74113,0,432,,,
74580,0,432,,,
760266,0,432,,,
ashgre1,0,432,,,
astcra1,0,432,,,
bafcur1,9,423,0.2555818229577095,0.2222222222222222,-0.03335960073548727
baffal1,0,432,,,
banana,0,432,,,
barant1,0,432,,,
batbel1,0,432,,,
baymac,0,432,,,
bbwduc,0,432,,,
bcwfin2,0,432,,,
bkcdon,0,432,,,
bkhpar,0,432,,,
blchaw1,0,432,,,
blheag1,0,432,,,
blttit1,0,432,,,
bncfly,0,432,,,
bobfly1,0,432,,,
brcmar1,0,432,,,
brnowl,0,432,,,
bucmot4,0,432,,,
bucpar,0,432,,,
bufpar,2,430,0.6895348837209303,0.34767441860465115,-0.34186046511627916
bunibi1,2,430,0.2430232558139535,0.15465116279069768,-0.08837209302325583
burowl,0,432,,,
camfli1,0,432,,,
chacha1,52,380,0.9704453441295546,0.9552125506072875,-0.01523279352226714
chbmoc1,0,432,,,
chobla1,0,432,,,
chvcon1,12,420,0.9607142857142856,0.9714285714285714,0.010714285714285787
cibspi1,0,432,,,
coffal1,0,432,,,
compau,18,414,0.6533816425120773,0.8514492753623188,0.19806763285024154
compot1,3,429,0.2152292152292152,0.13986013986013984,-0.07536907536907536
crbthr1,0,432,,,
crebec1,0,432,,,
dwatin1,0,432,,,
epaori4,0,432,,,
eulfly1,0,432,,,
fabwre1,0,432,,,
fepowl,0,432,,,
ficman1,0,432,,,
flawar1,0,432,,,
fotfly,0,432,,,
fusfly1,3,429,0.2766122766122766,0.20046620046620045,-0.07614607614607616
gilhum1,0,432,,,
giwrai1,0,432,,,
glteme1,0,432,,,
grasal3,0,432,,,
greani1,0,432,,,
greant1,0,432,,,
greela,0,432,,,
grekis,0,432,,,
grepot1,0,432,,,
gretho2,0,432,,,
greyel,0,432,,,
grfdov1,0,432,,,
grhtan1,0,432,,,
gycwor1,0,432,,,
horscr1,0,432,,,
houspa,0,432,,,
hyamac1,0,432,,,
larela1,0,432,,,
lesela1,0,432,,,
lesgrf1,0,432,,,
limpki,0,432,,,
linwoo1,0,432,,,
litcuc2,0,432,,,
litnig1,14,418,0.8561175666438824,0.8629528366370471,0.00683526999316475
mabpar,0,432,,,
magant1,2,430,0.8790697674418605,0.9558139534883722,0.07674418604651168
magtan2,0,432,,,
masgna1,0,432,,,
nacnig1,0,432,,,
ocecra1,0,432,,,
oliwoo1,0,432,,,
orbtro3,0,432,,,
orwpar,11,421,0.6836536385229972,0.9114662060030231,0.22781256748002587
osprey,0,432,,,
pabspi1,0,432,,,
palhor3,0,432,,,
paltan1,0,432,,,
phecuc1,0,432,,,
picpig2,0,432,,,
pirfly1,0,432,,,
plasla1,0,432,,,
platyr1,0,432,,,
plcjay1,0,432,,,
pluibi1,0,432,,,
purjay1,4,428,0.703855140186916,0.8650700934579438,0.16121495327102786
pvttyr1,0,432,,,
ragmac1,0,432,,,
rebscy1,0,432,,,
recfin1,0,432,,,
redjun,6,426,0.6639280125195619,0.5821596244131456,-0.08176838810641629
relser1,0,432,,,
rinkin1,0,432,,,
rivwar1,0,432,,,
roahaw,0,432,,,
rubthr1,0,432,,,
rufcac2,0,432,,,
rufcas2,0,432,,,
rufgna3,0,432,,,
rufhor2,4,428,0.39602803738317754,0.39135514018691586,-0.004672897196261683
rufnig1,0,432,,,
ruftho1,0,432,,,
ruftof1,0,432,,,
rumfly1,0,432,,,
ruther1,0,432,,,
rutjac1,0,432,,,
sabspa1,0,432,,,
saffin,0,432,,,
saytan1,0,432,,,
scadov1,0,432,,,
schpar1,0,432,,,
scther1,0,432,,,
shcfly1,0,432,,,
shshaw,0,432,,,
shtnig1,0,432,,,
sibtan2,0,432,,,
smbani,0,432,,,
smbtin1,0,432,,,
sobcac1,0,432,,,
sobtyr1,0,432,,,
socfly1,0,432,,,
sofspi1,0,432,,,
souant1,0,432,,,
soulap1,0,432,,,
souscr1,0,432,,,
spbant3,0,432,,,
spispi1,0,432,,,
sptnig1,0,432,,,
squcuc1,0,432,,,
stbwoo2,0,432,,,
strcuc1,0,432,,,
strher2,0,432,,,
strowl1,0,432,,,
swthum1,0,432,,,
swtman1,0,432,,,
tattin1,0,432,,,
thlwre1,0,432,,,
toctou1,0,432,,,
trokin,0,432,,,
trsowl,9,423,0.6900446545836617,0.8158655109009719,0.12582085631731021
undtin1,21,411,0.662148070907195,0.7467269146101263,0.08457884370293134
varant1,0,432,,,
watjac1,0,432,,,
wesfie1,0,432,,,
wfwduc1,1,431,0.45011600928074247,0.3306264501160093,-0.1194895591647332
whbant2,0,432,,,
whbwar2,0,432,,,
whiwoo1,0,432,,,
whlspi1,0,432,,,
whnjay1,0,432,,,
whtdov,34,398,0.9906148389003843,0.9934229973396393,0.002808158439255082
whwpic1,0,432,,,
y00678,0,432,,,
yebcar,0,432,,,
yebela1,0,432,,,
yecmac,0,432,,,
yecpar,0,432,,,
yehcar1,0,432,,,
yeofly1,0,432,,,
