fold,variant,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,brier,log_loss,ece
0,raw,0.8494899255856971,29,205,0,0.009709877893328667,0.0640261247754097,0.008483027883429984
0,event_smooth_texture_filemax_strong,0.8164919151211449,29,205,0,0.009501003660261631,0.05383932217955589,0.007227750464719959
0,filemax_all_035,0.8150132036775576,29,205,0,0.009486130438745022,0.053980834782123566,0.007373691337874272
0,event_smooth_texture_filemax,0.8148166940941559,29,205,0,0.009543117135763168,0.054559219628572464,0.007612523786001655
0,filemax_all_020,0.8133656150255403,29,205,0,0.009573381394147873,0.055008914321660995,0.007590280373542668
0,weak_priors,0.8114410994843616,29,205,0,0.009971524588763714,0.061834488064050674,0.009147130399681071
0,smooth_all_020,0.8108392359975456,29,205,0,0.009672751650214195,0.056307725608348846,0.008284421408705207
0,old_priors,0.8104049105189972,29,205,0,0.011616494506597519,0.078929603099823,0.01134342706402167
1,raw,0.8768579395204124,29,205,0,0.008195769973099232,0.045232485979795456,0.0061442807585116435
1,weak_priors,0.8338450559333814,29,205,0,0.008386862464249134,0.045631177723407745,0.006480928835952298
1,old_priors,0.8272747825045325,29,205,0,0.00962455477565527,0.05951451137661934,0.008276402000335628
1,event_smooth_texture_filemax_strong,0.8270359666380398,29,205,0,0.007991832681000233,0.03984655439853668,0.0056819547359693
1,event_smooth_texture_filemax,0.8246413881963098,29,205,0,0.008022154681384563,0.04039417952299118,0.005719027238714
1,filemax_all_035,0.8232625121822315,29,205,0,0.008019907400012016,0.03997693210840225,0.005761101683648585
1,filemax_all_020,0.8218450981443548,29,205,0,0.008080213330686092,0.040805570781230927,0.005859612029928388
1,smooth_all_020,0.8158822656156586,29,205,0,0.008182929828763008,0.041914280503988266,0.006121803810542833
2,event_smooth_texture_filemax_strong,0.8857831129260898,35,199,0,0.008861340582370758,0.03990746662020683,0.005936903025928319
2,raw,0.8848806193416292,35,199,0,0.009430618025362492,0.045175619423389435,0.007442942647507487
2,filemax_all_035,0.8836016060969426,35,199,0,0.008950067684054375,0.04014521837234497,0.006358623961320752
2,event_smooth_texture_filemax,0.8834812956322419,35,199,0,0.009002120234072208,0.04079749435186386,0.0064726527097059205
2,filemax_all_020,0.880633346596619,35,199,0,0.009143988601863384,0.04146968573331833,0.006695169134645844
2,weak_priors,0.874025621684902,35,199,0,0.009261670522391796,0.045725807547569275,0.007971538382901653
2,old_priors,0.8667382590575611,35,199,0,0.009214750491082668,0.05655691772699356,0.007939494972650906
2,smooth_all_020,0.8622832010917632,35,199,0,0.009408769197762012,0.043238040059804916,0.007448466731120434
