primary_label,auc_all,positive_rows_all,negative_rows_all,scored,mean_prob_all,auc_soundscape,positive_rows_soundscape,negative_rows_soundscape,mean_prob_soundscape,scored_soundscape,scientific_name,class_name,is_texture_taxon,auc_gap_sound_minus_all
1161364,0.9825778790483368,11,36067,True,0.00027933160890825093,,0,529,0.00026366100064478815,False,Guyalna cuta,Insecta,True,
116570,0.9906272921355961,11,36067,True,0.00018526794156059623,0.9078034682080924,10,519,0.0059968032874166965,True,Caiman yacare,Reptilia,False,-0.08282382392750365
1176823,0.9192175456108246,12,36066,True,0.00021301662491168827,,0,529,0.00010897254105657339,False,Leptodactylus luctator,Amphibia,True,
1491113,0.995564180759634,8,36070,True,0.0001733140234136954,0.7478406909788868,8,521,0.00822269544005394,True,Adenomera guarani,Amphibia,True,-0.2477234897807472
1595929,0.9716907382252654,5,36073,True,0.00015227661060635,,0,529,0.0005272102425806224,False,Lysapsus limellum,Amphibia,True,
209233,0.6583185497283512,2,36076,True,2.9980707040522248e-05,,0,529,9.67146479524672e-06,False,Equus caballus,Mammalia,False,
22930,0.9992145338951726,6,36072,True,0.00028420862508937716,,0,529,0.00027938492712564766,False,Leptodactylus syphax,Amphibia,True,
22956,0.9925494507018809,32,36046,True,0.0008187996572814882,,0,529,0.0001899290073197335,False,Leptodactylus mystacinus,Amphibia,True,
22961,0.9852196869580218,9,36069,True,0.00011889811139553785,0.7237008871989861,3,526,0.0015855778474360704,True,Leptodactylus podicipinus,Amphibia,True,-0.2615187997590357
22967,0.9929342097964166,24,36054,True,0.0008930900366976857,0.6742202729044835,16,513,0.04403321072459221,True,Leptodactylus elenae,Amphibia,True,-0.31871393689193306
22973,0.9927426487112139,92,35986,True,0.003067840589210391,0.696,29,500,0.0789957046508789,True,Leptodactylus fuscus,Amphibia,True,-0.2967426487112139
22983,0.9992985471886436,10,36068,True,0.0009097858564928174,,0,529,0.0007356122368946671,False,Leptodactylus labyrinthicus,Amphibia,True,
22985,0.8063872255489022,6,36072,True,0.00010193976777372882,,0,529,0.000354822666849941,False,Leptodactylus petersii,Amphibia,True,
23150,0.4431355157025252,1,36077,True,1.4552666470990516e-05,,0,529,4.348693983047269e-05,False,Physalaemus centralis,Amphibia,True,
23154,0.9988855931028748,5,36073,True,0.00010910182754741982,,0,529,0.00010339647269574925,False,Physalaemus albifrons,Amphibia,True,
23158,0.978663925732916,53,36025,True,0.001973300939425826,0.8123432197137377,27,502,0.06127427890896797,True,Physalaemus albonotatus,Amphibia,True,-0.16632070601917837
23176,1.0,4,36074,True,0.0001261662837350741,,0,529,7.376556459348649e-05,False,Pseudopaludicola mystacalis,Amphibia,True,
23724,0.26435124871801974,1,36077,True,3.473958349786699e-05,,0,529,5.525418964680284e-05,False,Phyllomedusa sauvagii,Amphibia,True,
24279,0.9817544834226778,75,36003,True,0.001767977955751121,0.7030952380952381,25,504,0.0311783067882061,True,Scinax nasicus,Amphibia,True,-0.2786592453274397
24285,0.9947045850295058,19,36059,True,0.00044558904482983053,,0,529,0.0010143292602151632,False,Scinax fuscovarius,Amphibia,True,
24287,0.9990549732897096,12,36066,True,0.0003692175087053329,,0,529,0.00017225914052687585,False,Scinax fuscomarginatus,Amphibia,True,
24321,0.9923413629532982,29,36049,True,0.00047706280020065606,0.734506418769367,27,502,0.025839583948254585,True,Scinax acuminatus,Amphibia,True,-0.25783494418393127
244024,0.9970290996785307,181,35897,True,0.004410525318235159,,0,529,0.0006059907027520239,False,Quesada gigas,Insecta,True,
25073,0.8196773567646978,1,36077,True,1.5197389984678011e-05,0.29261363636363635,1,528,0.00016098422929644585,True,Chiasmocleis mehelyi,Amphibia,True,-0.5270637204010614
25092,0.9836111256177091,34,36044,True,0.0009425983880646527,0.8505725190839695,5,524,0.008785458281636238,True,Elachistocleis bicolor,Amphibia,True,-0.13303860653373967
25214,0.957911757911758,3,36075,True,6.187152757775038e-05,,0,529,0.00016090809367597103,False,Dermatonotus muelleri,Amphibia,True,
326272,0.9825840594879296,33,36045,True,0.0008487530285492539,0.4411764705882353,2,527,0.002130307490006089,True,Physalaemus biligonigerus,Amphibia,True,-0.5414075888996943
41970,0.9905480343952763,21,36057,True,0.0003742742701433599,,0,529,0.0002006884606089443,False,Panthera onca,Mammalia,False,
43435,0.9695611031002163,16,36062,True,0.00024436006788164377,0.990530303030303,1,528,0.001490496564656496,True,Alouatta caraya,Mammalia,False,0.020969199930086724
47144,0.9475706401027116,51,36027,True,0.0007274321396835148,0.7872848948374761,6,523,0.0029979469254612923,True,Canis familiaris,Mammalia,False,-0.16028574526523554
47158son01,0.9843039693979379,2,36076,True,6.109043897595257e-05,0.8505692599620494,2,527,0.0010971599258482456,True,Insect son01,Insecta,True,-0.1337347094358885
47158son02,0.7593413903980486,2,36076,True,3.338361784699373e-05,0.4098671726755218,2,527,0.00021438235125970095,True,Insect son02,Insecta,True,-0.3494742177225268
47158son03,0.989944281199756,4,36074,True,2.33454629778862e-05,0.7519047619047619,4,525,0.0004938754718750715,True,Insect son03,Insecta,True,-0.23803951929499412
47158son04,0.9905996174424084,5,36073,True,3.9265909435926005e-05,0.793702290076336,5,524,0.0005030531319789588,True,Insect son04,Insecta,True,-0.19689732736607246
47158son05,0.9897854529326977,2,36076,True,2.4464528905809857e-05,0.8643263757115749,2,527,0.00020334342843852937,True,Insect son05,Insecta,True,-0.12545907722112282
47158son06,0.8120010533318549,2,36076,True,1.9943976440117694e-05,0.44259962049335866,2,527,0.00014910995378158987,True,Insect son06,Insecta,True,-0.36940143283849625
47158son07,0.9993035149969507,4,36074,True,0.00014499614189844579,0.9550000000000001,4,525,0.008474076166749,True,Insect son07,Insecta,True,-0.04430351499695062
47158son08,0.9796858396858398,3,36075,True,4.434295624378137e-05,0.7544359949302915,3,526,0.0020492321345955133,True,Insect son08,Insecta,True,-0.22524984475554832
47158son09,0.9239681791723258,1,36077,True,2.1120971723576076e-05,0.5928030303030303,1,528,0.00022957913461141288,True,Insect son09,Insecta,True,-0.3311651488692955
47158son10,0.9155104784609415,4,36074,True,2.71368699031882e-05,0.6388095238095238,4,525,0.0004089809372089803,True,Insect son10,Insecta,True,-0.27670095465141764
