hour_utc,rows,files,mean_true_conf,mean_false_conf,mean_margin
19.0,36,3,0.020548455,0.003983956,0.0165645
18.0,12,1,0.036834296,0.0034752216,0.033359077
3.0,28,4,0.0447281,0.004520193,0.040207904
20.0,43,7,0.07709034,0.0034856251,0.07360472
7.0,27,3,0.08153253,0.006710174,0.07482236
21.0,52,8,0.08614624,0.0032804245,0.08286583
6.0,42,4,0.093224056,0.004801162,0.088422894
22.0,38,6,0.0920886,0.0033665942,0.08872201
2.0,41,5,0.09499594,0.0036927937,0.09130314
23.0,98,9,0.10084983,0.0042811404,0.09656869
1.0,39,5,0.11402453,0.0045987233,0.1094258
0.0,47,8,0.12720884,0.0035086398,0.123700194
4.0,26,3,0.13854104,0.0066140797,0.13192695
