primary_label,auc_all,positive_rows_all,negative_rows_all,scored,mean_prob_all,auc_soundscape,positive_rows_soundscape,negative_rows_soundscape,mean_prob_soundscape,scored_soundscape,scientific_name,class_name,is_texture_taxon,auc_gap_sound_minus_all
strher2,0.9580054633939347,168,35910,True,0.005282258614897728,0.09659090909090906,1,528,0.0028093811124563217,True,Butorides striata,Aves,False,-0.8614145543030256
65377,0.9491897968246918,50,36028,True,0.0011198197025805712,0.22547619047619047,4,525,0.002001645043492317,True,Dendropsophus minutus,Amphibia,True,-0.7237136063485013
redjun,0.9266521256940277,238,35840,True,0.007977349683642387,0.2754515599343186,7,522,0.012400680221617222,True,Gallus gallus,Aves,False,-0.6512005657597091
25073,0.8196773567646978,1,36077,True,1.5197389984678011e-05,0.29261363636363635,1,528,0.00016098422929644585,True,Chiasmocleis mehelyi,Amphibia,True,-0.5270637204010614
47158son12,0.7842827442827442,3,36075,True,4.5615783164976165e-05,0.3276299112801014,3,526,0.0008399460348300636,True,Insect son12,Insecta,True,-0.45665283300264287
74113,0.9413690641231816,12,36066,True,0.00022167011047713459,0.40227703984819735,2,527,0.0006191068678162992,True,Bos taurus,Mammalia,False,-0.5390920242749841
47158son02,0.7593413903980486,2,36076,True,3.338361784699373e-05,0.4098671726755218,2,527,0.00021438235125970095,True,Insect son02,Insecta,True,-0.3494742177225268
326272,0.9825840594879296,33,36045,True,0.0008487530285492539,0.4411764705882353,2,527,0.002130307490006089,True,Physalaemus biligonigerus,Amphibia,True,-0.5414075888996943
47158son06,0.8120010533318549,2,36076,True,1.9943976440117694e-05,0.44259962049335866,2,527,0.00014910995378158987,True,Insect son06,Insecta,True,-0.36940143283849625
47158son14,0.7806635806746681,1,36077,True,3.7210891605354846e-05,0.5246212121212122,1,528,0.00013006894732825458,True,Insect son14,Insecta,True,-0.25604236855345597
nacnig1,0.956308596045679,21,36057,True,0.0002832990139722824,0.5341555977229602,2,527,0.0008834219770506024,True,Chordeiles nacunda,Aves,False,-0.4221529983227188
47158son20,0.8134684147794993,1,36077,True,2.1153780835447833e-05,0.5634469696969697,1,528,0.00024997282889671624,True,Insect son20,Insecta,True,-0.25002144508252955
