variant,taxon,file_taxon_auc,scored_classes
manifest_baseline,Amphibia,0.9973001102616749,17
manifest_baseline,Aves,0.9825939742250087,25
manifest_baseline,Insecta,0.9989473684210526,25
manifest_baseline,Mammalia,0.9827586206896551,3
manifest_baseline,Reptilia,1.0,1
full_no_file_scale,Amphibia,0.9975320248898742,17
full_no_file_scale,Aves,0.9791881800460749,25
full_no_file_scale,Insecta,0.999298245614035,25
full_no_file_scale,Mammalia,0.9827586206896551,3
full_no_file_scale,Reptilia,1.0,1
full_topk1,Amphibia,0.9975320248898742,17
full_topk1,Aves,0.9791881800460749,25
full_topk1,Insecta,0.999298245614035,25
full_topk1,Mammalia,0.9827586206896551,3
full_topk1,Reptilia,1.0,1
full_topk3,Amphibia,0.9971470125853573,17
full_topk3,Aves,0.9825050853361199,25
full_topk3,Insecta,0.9989473684210526,25
full_topk3,Mammalia,0.9770114942528735,3
full_topk3,Reptilia,1.0,1
full_no_rank_aware,Amphibia,0.9973001102616749,17
full_no_rank_aware,Aves,0.9825939742250087,25
full_no_rank_aware,Insecta,0.9989473684210526,25
full_no_rank_aware,Mammalia,0.9827586206896551,3
full_no_rank_aware,Reptilia,1.0,1
full_rank035,Amphibia,0.9973001102616749,17
full_rank035,Aves,0.9825939742250087,25
full_rank035,Insecta,0.9989473684210526,25
full_rank035,Mammalia,0.9827586206896551,3
full_rank035,Reptilia,1.0,1
texture_graft_no_file_scale_w025,Amphibia,0.9973037959464752,17
texture_graft_no_file_scale_w025,Aves,0.9825939742250087,25
texture_graft_no_file_scale_w025,Insecta,0.999298245614035,25
texture_graft_no_file_scale_w025,Mammalia,0.9827586206896551,3
texture_graft_no_file_scale_w025,Reptilia,1.0,1
texture_graft_no_file_scale_w050,Amphibia,0.9973811953272801,17
texture_graft_no_file_scale_w050,Aves,0.9825939742250087,25
texture_graft_no_file_scale_w050,Insecta,0.999298245614035,25
texture_graft_no_file_scale_w050,Mammalia,0.9827586206896551,3
texture_graft_no_file_scale_w050,Reptilia,1.0,1
texture_graft_no_file_scale_w075,Amphibia,0.9975320248898742,17
texture_graft_no_file_scale_w075,Aves,0.9825939742250087,25
texture_graft_no_file_scale_w075,Insecta,0.999298245614035,25
texture_graft_no_file_scale_w075,Mammalia,0.9827586206896551,3
texture_graft_no_file_scale_w075,Reptilia,1.0,1
texture_graft_no_file_scale_w100,Amphibia,0.9975320248898742,17
texture_graft_no_file_scale_w100,Aves,0.9825939742250087,25
texture_graft_no_file_scale_w100,Insecta,0.999298245614035,25
texture_graft_no_file_scale_w100,Mammalia,0.9827586206896551,3
texture_graft_no_file_scale_w100,Reptilia,1.0,1
texture_graft_topk1_w025,Amphibia,0.9973775096424797,17
texture_graft_topk1_w025,Aves,0.9825939742250087,25
texture_graft_topk1_w025,Insecta,0.999298245614035,25
texture_graft_topk1_w025,Mammalia,0.9827586206896551,3
texture_graft_topk1_w025,Reptilia,1.0,1
texture_graft_topk1_w050,Amphibia,0.9973811953272801,17
texture_graft_topk1_w050,Aves,0.9825939742250087,25
texture_graft_topk1_w050,Insecta,0.999298245614035,25
texture_graft_topk1_w050,Mammalia,0.9827586206896551,3
texture_graft_topk1_w050,Reptilia,1.0,1
texture_graft_topk1_w075,Amphibia,0.9974566101085772,17
texture_graft_topk1_w075,Aves,0.9825939742250087,25
texture_graft_topk1_w075,Insecta,0.999298245614035,25
texture_graft_topk1_w075,Mammalia,0.9827586206896551,3
texture_graft_topk1_w075,Reptilia,1.0,1
texture_graft_topk1_w100,Amphibia,0.9975320248898742,17
texture_graft_topk1_w100,Aves,0.9825939742250087,25
texture_graft_topk1_w100,Insecta,0.999298245614035,25
texture_graft_topk1_w100,Mammalia,0.9827586206896551,3
texture_graft_topk1_w100,Reptilia,1.0,1
texture_graft_topk3_w025,Amphibia,0.9973001102616749,17
texture_graft_topk3_w025,Aves,0.9825939742250087,25
texture_graft_topk3_w025,Insecta,0.9989473684210526,25
texture_graft_topk3_w025,Mammalia,0.9827586206896551,3
texture_graft_topk3_w025,Reptilia,1.0,1
texture_graft_topk3_w050,Amphibia,0.9973001102616749,17
texture_graft_topk3_w050,Aves,0.9825939742250087,25
texture_graft_topk3_w050,Insecta,0.9989473684210526,25
texture_graft_topk3_w050,Mammalia,0.9827586206896551,3
texture_graft_topk3_w050,Reptilia,1.0,1
texture_graft_topk3_w075,Amphibia,0.997148997184865,17
texture_graft_topk3_w075,Aves,0.9825939742250087,25
texture_graft_topk3_w075,Insecta,0.9989473684210526,25
texture_graft_topk3_w075,Mammalia,0.9827586206896551,3
texture_graft_topk3_w075,Reptilia,1.0,1
texture_graft_topk3_w100,Amphibia,0.9971470125853573,17
texture_graft_topk3_w100,Aves,0.9825939742250087,25
texture_graft_topk3_w100,Insecta,0.9989473684210526,25
texture_graft_topk3_w100,Mammalia,0.9827586206896551,3
texture_graft_topk3_w100,Reptilia,1.0,1
texture_graft_rank035_w025,Amphibia,0.9973001102616749,17
texture_graft_rank035_w025,Aves,0.9825939742250087,25
texture_graft_rank035_w025,Insecta,0.9989473684210526,25
texture_graft_rank035_w025,Mammalia,0.9827586206896551,3
texture_graft_rank035_w025,Reptilia,1.0,1
texture_graft_rank035_w050,Amphibia,0.9973001102616749,17
texture_graft_rank035_w050,Aves,0.9825939742250087,25
texture_graft_rank035_w050,Insecta,0.9989473684210526,25
texture_graft_rank035_w050,Mammalia,0.9827586206896551,3
texture_graft_rank035_w050,Reptilia,1.0,1
texture_graft_rank035_w075,Amphibia,0.9973001102616749,17
texture_graft_rank035_w075,Aves,0.9825939742250087,25
texture_graft_rank035_w075,Insecta,0.9989473684210526,25
texture_graft_rank035_w075,Mammalia,0.9827586206896551,3
texture_graft_rank035_w075,Reptilia,1.0,1
texture_graft_rank035_w100,Amphibia,0.9973001102616749,17
texture_graft_rank035_w100,Aves,0.9825939742250087,25
texture_graft_rank035_w100,Insecta,0.9989473684210526,25
texture_graft_rank035_w100,Mammalia,0.9827586206896551,3
texture_graft_rank035_w100,Reptilia,1.0,1
texture_graft_no_rank_aware_w025,Amphibia,0.9973001102616749,17
texture_graft_no_rank_aware_w025,Aves,0.9825939742250087,25
texture_graft_no_rank_aware_w025,Insecta,0.9989473684210526,25
texture_graft_no_rank_aware_w025,Mammalia,0.9827586206896551,3
texture_graft_no_rank_aware_w025,Reptilia,1.0,1
texture_graft_no_rank_aware_w050,Amphibia,0.9973001102616749,17
texture_graft_no_rank_aware_w050,Aves,0.9825939742250087,25
texture_graft_no_rank_aware_w050,Insecta,0.9989473684210526,25
texture_graft_no_rank_aware_w050,Mammalia,0.9827586206896551,3
texture_graft_no_rank_aware_w050,Reptilia,1.0,1
texture_graft_no_rank_aware_w075,Amphibia,0.9973001102616749,17
texture_graft_no_rank_aware_w075,Aves,0.9825939742250087,25
texture_graft_no_rank_aware_w075,Insecta,0.9989473684210526,25
texture_graft_no_rank_aware_w075,Mammalia,0.9827586206896551,3
texture_graft_no_rank_aware_w075,Reptilia,1.0,1
texture_graft_no_rank_aware_w100,Amphibia,0.9973001102616749,17
texture_graft_no_rank_aware_w100,Aves,0.9825939742250087,25
texture_graft_no_rank_aware_w100,Insecta,0.9989473684210526,25
texture_graft_no_rank_aware_w100,Mammalia,0.9827586206896551,3
texture_graft_no_rank_aware_w100,Reptilia,1.0,1
