variant,row_macro_auc,row_scored_classes,file_macro_auc,file_scored_classes,row_texture_auc,row_texture_scored_classes,file_texture_auc,file_texture_scored_classes,row_event_auc,row_event_scored_classes,file_event_auc,file_event_scored_classes,min_taxon_file_auc,texture_event_balance,prob_mean,prob_max,variant_family,donor_variant,graft_cols,graft_weight,top_k,rank_aware,rank_power,delta_alpha,use_thresholds,aves_smooth_alpha,use_calibration,row_macro_auc_delta,file_macro_auc_delta,file_texture_auc_delta,file_event_auc_delta,min_taxon_file_auc_delta,texture_event_balance_delta,worst_file_regime_delta,strict_file_score,strict_public_candidate
texture_graft_no_file_scale_w100,0.9933352974133255,71,0.9923045884672244,71,0.9983520336475338,42,0.9985833467494937,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.26742833852767944,0.9998942613601685,texture_graft,no_file_scale,Amphibia+Insecta,1.0,0,True,0.4,0.2,True,0.0,False,0.00021540339055392543,0.00017907716202769652,0.00030272567866551636,0.0,0.0,0.0,0.0,0.9923045884672244,True
texture_graft_topk1_w100,0.9931622203301639,71,0.9923045884672244,71,0.9980594509593319,42,0.9985833467494937,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.25687482953071594,0.9997886419296265,texture_graft,topk1,Amphibia+Insecta,1.0,1,True,0.4,0.2,True,0.0,False,4.232630739231524e-05,0.00017907716202769652,0.00030272567866551636,0.0,0.0,0.0,0.0,0.9923045884672244,True
texture_graft_no_file_scale_w075,0.993333073717895,71,0.9923045884672241,71,0.9983482745433537,42,0.9985833467494939,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.26465579867362976,0.9998571872711182,texture_graft,no_file_scale,Amphibia+Insecta,0.75,0,True,0.4,0.2,True,0.0,False,0.00021317969512346657,0.00017907716202747448,0.0003027256786657384,0.0,0.0,0.0,0.0,0.9923045884672241,True
texture_graft_topk1_w075,0.9931621470849822,71,0.9922865314069137,71,0.9980593271400962,42,0.9985528217189688,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.25674059987068176,0.9997779130935669,texture_graft,topk1,Amphibia+Insecta,0.75,1,True,0.4,0.2,True,0.0,False,4.225306221061764e-05,0.0001610201017170354,0.00027220064814059697,0.0,0.0,0.0,0.0,0.9922865314069137,True
texture_graft_no_file_scale_w050,0.9933178786104108,71,0.9922684743466031,71,0.9983225875759397,42,0.9985222966884437,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2618832290172577,0.9998213052749634,texture_graft,no_file_scale,Amphibia+Insecta,0.5,0,True,0.4,0.2,True,0.0,False,0.00019798458763919946,0.0001429630414064853,0.00024167561761556655,0.0,0.0,0.0,0.0,0.9922684743466031,True
texture_graft_topk1_w050,0.9931496376641302,71,0.9922684743466031,71,0.9980381802619895,42,0.9985222966884437,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.25660642981529236,0.9997671842575073,texture_graft,topk1,Amphibia+Insecta,0.5,1,True,0.4,0.2,True,0.0,False,2.9743641358659367e-05,0.0001429630414064853,0.00024167561761556655,0.0,0.0,0.0,0.0,0.9922684743466031,True
texture_graft_topk1_w025,0.993135816585823,71,0.9922675918586933,71,0.9980148160581839,42,0.9985208048636438,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.25647225975990295,0.999760627746582,texture_graft,topk1,Amphibia+Insecta,0.25,1,True,0.4,0.2,True,0.0,False,1.592256305138484e-05,0.0001420805534966263,0.0002401837928156514,0.0,0.0,0.0,0.0,0.9922675918586933,True
texture_graft_no_file_scale_w025,0.9932836705726077,71,0.9922499421004948,71,0.9982647597025108,42,0.9984909683676418,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.2591106593608856,0.999789297580719,texture_graft,no_file_scale,Amphibia+Insecta,0.25,0,True,0.4,0.2,True,0.0,False,0.00016377654983612544,0.00012443079529811385,0.00021034729681368436,0.0,0.0,0.0,0.0,0.9922499421004948,True
manifest_baseline,0.9931198940227716,71,0.9921255113051967,71,0.9979878993444548,42,0.9982806210708282,42,0.9860696794189547,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.25633811950683594,0.9997572898864746,baseline,manifest_baseline,none,0.0,2,True,0.4,0.2,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
full_no_rank_aware,0.993606065686187,71,0.9921255113051967,71,0.9981804097089897,42,0.9982806210708282,42,0.9869811536531616,29,0.9832112144032477,29,0.9825939742250087,0.9832112144032477,0.3145792782306671,0.9998266696929932,full_donor_diagnostic,no_rank_aware,all,1.0,2,False,0.4,0.2,True,0.0,False,0.0004861716634154689,0.0,0.0,0.0,0.0,0.0,0.0,0.9921255113051967,False
